Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Taj Boston,tajhotels.com/Boston,https://www.facebook.com/TajHotels,,http://www.twitter.com/tajhotels,https://www.pinterest.com/tajhotels,"Live in a hallmark of history at Taj Boston, walking distance from the iconic tourist spots on æNewbury Street. At this enchanting luxury hotel overlooking the Boston Public Garden, we offer you the most immersive experience of the city.æ",Core,"Live in a hallmark of history at Taj Boston, walking distance from the iconic tourist spots on æNewbury Street. At this enchanting luxury hotel overlooking the Boston Public Garden, we offer you the most immersive experience of the city.æ",,,Private,Private,,,15 Arlington St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35279,-71.07157
Hyatt Regency Boston Harbor,bostonharbor.regency.hyatt.com,,,,,"Hyatt Regency Boston Harboræfeatures breathtaking views of the beautiful city skyline and is the most environmentally friendly waterfront hotel in Boston, Massachusetts. Winner of BostonÍs Green Business Award, this convenient hotel close to Logan Airport includes newly renovated soundproofæguestrooms, stunning harbor and city views, and onsite gourmetædining options.",Core,"Hyatt Regency Boston Harboræfeatures breathtaking views of the beautiful city skyline and is the most environmentally friendly waterfront hotel in Boston, Massachusetts. Winner of BostonÍs Green Business Award, this convenient hotel close to Logan Airport includes newly renovated soundproofæguestrooms, stunning harbor and city views, and onsite gourmetædining options.",,,Private,Private,,,101 Harborside Drive,Boston,Massachusetts,2128,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35920,-71.02720
DoubleTree by Hilton Boston-Downtown,bostondowntown.doubletree.com,,,,,"Our downtown Boston hotel, DoubleTree by Hilton Hotel Boston _ Downtown, is conveniently located in the heart of BostonÍs Theater District and was renovated in April 2014. Upon arrival, guests are welcomed with a warm chocolate chip cookie and the aroma of the full-service on-site Starbucks¬ located in our lobby. Easily make your way around the city with the Tufts Medical Center ïTÍ stationænearby and Logan International (BOS) Airport just 4.5 miles away.",Core,"Our downtown Boston hotel, DoubleTree by Hilton Hotel Boston _ Downtown, is conveniently located in the heart of BostonÍs Theater District and was renovated in April 2014. Upon arrival, guests are welcomed with a warm chocolate chip cookie and the aroma of the full-service on-site Starbucks¬ located in our lobby. Easily make your way around the city with the Tufts Medical Center ïTÍ stationænearby and Logan International (BOS) Airport just 4.5 miles away.",,,Private,Private,,,821 Washington St.,Boston,Massachusetts,2111,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34872,-71.06465
Hotel Commonwealth,hotelcommonwealth.com,https://www.facebook.com/HotelCommonwealth,,https://twitter.com/hotelcommonwlth,http://www.pinterest.com/sagehotels/hotel-commonwealth-boston/,"Faithful to the hotelÍs well-honed welcoming feel, these accommodations join the hotelÍs expansive Commonwealth rooms to offer 245 guest rooms in total over two magnificent wings.",Core,"Faithful to the hotelÍs well-honed welcoming feel, these accommodations join the hotelÍs expansive Commonwealth rooms to offer 245 guest rooms in total over two magnificent wings.",,,Private,Private,,,500 Commonwealth Ave.,Boston,Massachusetts,2215,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34863,-71.09522
Boston Harbor Hotel,bhh.com,https://www.facebook.com/BostonHarborHotel,http://www.linkedin.com/company/35699?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A243526251370395544835%2CVSRPtargetId%3A35699%2CVSRPcmpt%3Aprimary,https://twitter.com/HarborHotel,http://pinterest.com/bosharborhotel,"A member of Preferred Hotels Resorts LEGEND Collection, BostonÍs only Forbes Five-Star waterfront hotel welcomes guests arriving by land or sea.",Core,"A member of Preferred Hotels Resorts LEGEND Collection, BostonÍs only Forbes Five-Star waterfront hotel welcomes guests arriving by land or sea.",,,Private,Private,,,70 Rowes Wharf,Boston,Massachusetts,2110,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.35622,-71.05026
Loews Boston Hotel,loewshotels.com/boston-hotel,https://www.facebook.com/LoewsBostonHotel,http://www.linkedin.com/company/loews-hotels,https://twitter.com/Loews_Hotels#LoewsBoston,,"Housed in the stately limestone building that was once home to the Boston Police Headquarters, Loews Boston Hotel is an unforgettable blend of historic charm, sophistication and authentic New England hospitality.",Core,"Housed in the stately limestone building that was once home to the Boston Police Headquarters, Loews Boston Hotel is an unforgettable blend of historic charm, sophistication and authentic New England hospitality.",,,Private,Private,,,154 Berkeley St.,Boston,Massachusetts,2116,Suffolk,USA,Boston,,,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,,42.34926,-71.07256
The Lenox Hotel,lenoxhotel.com,https://www.facebook.com/lenoxhotel/,,https://www.twitter.com/LenoxHotel/,https://www.pinterest.com/lenoxhotel/,"With our high ceilings, crystal lamps and wood burning fireplaces, thereÍs a lot to smile about at the Lenox. Our seamless marriage of historic and modern design lays the foundation for 214 guest rooms and suites.",Core,"With our high ceilings, crystal lamps and wood burning fireplaces, thereÍs a lot to smile about at the Lenox. Our seamless marriage of historic and modern design lays the foundation for 214 guest rooms and suites.",,,Private,Private,,,61 Exeter St. at Boylston,Boston,Massachusetts,2116,Suffolk,USA,Boston,,8410000,,721110,#NAME?,,,,Opportunity,Personal Rights,Freedom of assembly/association,,,,,,,,,,,,,,,,,8410000,42.34915,-71.07963
CBRE/New England,cbre-ne.com,,http://www.cbre-ne.com/linkedin,https://twitter.com/cbreNewEngland,,"CBRE/New England (CBRE/NE) is a Joint Venture between the Whittier Partners Group and CBRE. CBRE/NE is the largest full-service commercial real estate services company in New England, combining the global resources and platform of CBRE with local management, control and ownership by the key professionals who provide service to our clients in the New England marketplace.",Core,"CBRE/New England (CBRE/NE) is a Joint Venture between the Whittier Partners Group and CBRE. CBRE/NE is the largest full-service commercial real estate services company in New England, combining the global resources and platform of CBRE with local management, control and ownership by the key professionals who provide service to our clients in the New England marketplace.",,,Private,Private,,,33 Arch St.,Boston,Massachusetts,2110,Suffolk,USA,Northeast,,41230000,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,41230000,42.35617,-71.05842
Cushman & Wakefield,cushmanwakefield.com,https://www.facebook.com/CushmanWakefield,http://www.linkedin.com/company/cushman-&-wakefield,https://twitter.com/CushWake,,"We are a leading global real estate services firm that helps clients transform the way people work, shop and live.",Core,"We are a leading global real estate services firm that helps clients transform the way people work, shop and live.",,,Private,Private,,,225 Franklin St.,Boston,Massachusetts,2110,Suffolk,USA,International,,2251390000,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,2251390000,42.35603,-71.05405
JLL,jll.com/boston,http://www.facebook.com/jll,http://www.linkedin.com/company/jll,http://www.twitter.com/JLLBoston,,JLL is a financial and professional services firm that specializes incommercial real estate servicesæandæinvestment management.æ,Core,JLL is a financial and professional services firm that specializes incommercial real estate servicesæandæinvestment management.æ,,,Private,Private,,,1 Post Office Square,Boston,Massachusetts,2109,Suffolk,USA,United States,,5956000000,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,5956000000,42.35672,-71.05478
NAI Hunneman,naihunneman.com,http://www.facebook.com/pages/NAI-Hunneman/151569841552515,http://www.linkedin.com/company/55849?trk=tyah,http://www.twitter.com/NAIHunneman,,"NAI Hunneman is an innovative provider of commercial real estate services to corporations, institutions, and the private market.",Core,"NAI Hunneman is an innovative provider of commercial real estate services to corporations, institutions, and the private market.",,,Private,Private,,,303 Congress St.,Boston,Massachusetts,2210,Suffolk,USA,International,,520000,,561110,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,520000,42.35123,-71.05060
Newmark Grubb Knight Frank,ngkf.com,http://www.facebook.com/Newmarkkf,http://www.linkedin.com/company/newmark-grubb-knight-frank,http://twitter.com/ngkf,,Newmark Grubb Knight Frank (NGKF) is one of the world's leading commercial real estate advisory firms.,Core,Newmark Grubb Knight Frank (NGKF) is one of the world's leading commercial real estate advisory firms.,,,Private,Private,,,470 Atlantic Ave.,Boston,Massachusetts,2210,Suffolk,USA,International,,,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,,42.35415,-71.05141
Cresa Boston,cresa.com/boston,,,https://twitter.com/cresaboston,,Cresa is the world's largest tenant-only commercial real estate firm.,Core,Cresa is the world's largest tenant-only commercial real estate firm.,,,Private,Private,,,200 State St.,Boston,Massachusetts,2109,Suffolk,USA,Greater Boston,,196550000,,541611,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,196550000,42.36003,-71.05317
Lincoln Property Co.,lpcboston.com,http://www.facebook.com/?sk=nf#!/pages/Lincoln-Property-Company/120045525118,http://www.linkedin.com/company/lincoln-property-company/product?prdId=115716,http://twitter.com/lpcCommercial,,"Lincoln Property Companyæis a national real estate services firm dedicated to providing superior, value-added service that aggressively responds to the opportunities, needs and problems faced by tenants, investors and owners of commercial real estate.",Core,"Lincoln Property Companyæis a national real estate services firm dedicated to providing superior, value-added service that aggressively responds to the opportunities, needs and problems faced by tenants, investors and owners of commercial real estate.",,,Private,Private,,,53 State St.,Boston,Massachusetts,2109,Suffolk,USA,Greater Boston,,,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,,42.35850,-71.05618
Avison Young,avisonyoung.com,,http://www.linkedin.com/company/38567?trk=tyah,http://twitter.com/AvisonYoung,,"Avison Young is the real estate partner businesses trust for intelligent, integrated solutions. As a full-service provider, we can deliver results aligned with our clientsÍ strategic business objectives, supporting real estate initiatives that add value and build competitive advantage for your organization.",Core,"Avison Young is the real estate partner businesses trust for intelligent, integrated solutions. As a full-service provider, we can deliver results aligned with our clientsÍ strategic business objectives, supporting real estate initiatives that add value and build competitive advantage for your organization.",,,Private,Private,,,200 State St.,Boston,Massachusetts,2129,Suffolk,USA,Greater Boston,,,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,,42.36003,-71.05317
Boston Realty Advisors,bradvisors.com,https://www.facebook.com/bradvisors/,https://www.linkedin.com/company/43755,https://twitter.com/bradvisors,,We are a full-service commercial real estate brokerage and consulting firm with an integrated team of highly experienced and entrepreneurial professionals.,Core,We are a full-service commercial real estate brokerage and consulting firm with an integrated team of highly experienced and entrepreneurial professionals.,,,Private,Private,,,745 Bolyston St.,Boston,Massachusetts,2116,Suffolk,USA,Greater Boston,,,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,,42.34952,-71.08059
Related Beal,relatedbeal.com,,,,,Related Beal isæa closely held firm actively pursuing investment opportunities in all segments of the real estate industry. Since 1888 the Beal family has built a full service Real Estate firm with an enviable reputation. Related Beal's projects and advisory services are focused not only in the greater Boston area but also throughout the United States.æ,Core,Related Beal isæa closely held firm actively pursuing investment opportunities in all segments of the real estate industry. Since 1888 the Beal family has built a full service Real Estate firm with an enviable reputation. Related Beal's projects and advisory services are focused not only in the greater Boston area but also throughout the United States.æ,,,Private,Private,,,177 Milk St.,Boston,Massachusetts,2109,Suffolk,USA,United States,,9030000,,531210,#NAME?,,,,Opportunity,Personal Rights,Private property rights,,,,,,,,,,,,,,,,,9030000,42.35839,-71.05251
